순위,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF
1,피렐라,삼성,0.344,105,469,416,77,143,21,3,21,233,80,0,1
2,이대호,롯데,0.333,108,445,411,39,137,20,0,14,199,66,0,4
3,이정후,키움,0.330,109,480,421,60,139,25,6,19,233,83,0,3
4,소크라테스,KIA,0.329,91,395,365,68,120,23,7,13,196,57,0,3
5,나성범,KIA,0.325,107,486,418,71,136,32,2,18,226,81,0,5
6,전준우,롯데,0.321,87,373,340,55,109,25,1,9,163,58,0,8
7,조용호,KT,0.319,96,383,339,39,108,12,2,2,130,28,0,1
7,채은성,LG,0.319,90,383,339,37,108,23,1,10,163,72,0,8
9,한동희,롯데,0.316,97,381,348,36,110,23,0,12,169,51,0,3
10,최지훈,SSG,0.315,109,491,435,75,137,24,4,7,190,43,10,4
11,페르난데스,두산,0.310,103,448,410,48,127,20,0,6,165,64,0,4
12,박성한,SSG,0.307,106,432,381,49,117,16,3,2,145,50,4,2
13,김혜성,키움,0.306,111,488,444,72,136,15,5,4,173,41,0,3
14,김선빈,KIA,0.298,104,445,379,39,113,17,0,2,136,44,6,2
15,박해민,LG,0.298,105,472,416,75,124,15,5,2,155,37,7,4
16,홍창기,LG,0.296,79,369,314,56,93,14,4,1,118,39,1,4
17,허경민,두산,0.296,86,358,311,48,92,17,0,6,127,52,2,6
18,마티니,NC,0.291,103,431,375,46,109,25,1,14,178,65,0,7
19,김민혁,KT,0.290,100,361,310,44,90,8,2,0,102,26,15,3
20,안치홍,롯데,0.287,100,436,383,62,110,24,3,10,170,47,4,4
21,손아섭,NC,0.287,98,437,387,49,111,25,2,4,152,34,1,5
22,최정,SSG,0.287,95,393,321,67,92,17,0,19,166,72,0,6
23,김현수,LG,0.282,103,448,390,67,110,20,2,22,200,85,0,0
24,한유섬,SSG,0.279,103,422,355,47,99,29,1,15,175,81,0,3
25,터크먼,한화,0.276,107,487,438,63,121,23,3,8,174,32,0,2
26,박찬호,KIA,0.276,94,413,359,60,99,18,0,3,126,37,5,4
27,양의지,NC,0.275,94,379,313,43,86,18,0,14,146,66,0,7
28,정은원,한화,0.274,105,457,390,56,107,16,2,6,145,42,2,3
29,박민우,NC,0.271,74,330,284,42,77,18,0,3,104,31,5,2
30,배정대,KT,0.267,108,423,371,46,99,16,2,4,131,35,4,4
31,황재균,KT,0.267,105,435,390,42,104,21,2,6,147,51,2,1
32,류지혁,KIA,0.266,92,333,282,40,75,11,1,2,94,31,4,2
33,추신수,SSG,0.266,99,447,361,71,96,17,1,14,157,53,2,4
34,오재일,삼성,0.265,100,403,351,41,93,27,0,16,168,65,0,6
35,푸이그,키움,0.264,93,401,348,47,92,24,0,14,158,50,0,1
36,박병호,KT,0.263,104,425,372,65,98,13,0,32,207,88,0,5
37,오지환,LG,0.260,104,421,369,55,96,12,3,20,174,67,3,3
38,하주석,한화,0.259,90,352,324,39,84,12,2,5,115,50,0,3
39,최형우,KIA,0.255,100,409,345,41,88,19,1,10,139,53,0,2
40,유강남,LG,0.254,102,366,323,44,82,14,0,6,114,36,5,1
41,이지영,키움,0.252,105,345,321,25,81,11,4,1,103,28,5,0
42,박세혁,두산,0.252,98,326,282,30,71,13,1,3,95,36,7,4
43,송성문,키움,0.249,109,468,429,47,107,19,3,9,159,55,0,3
44,황대인,KIA,0.247,102,423,380,30,94,20,0,10,144,72,0,4
45,김재환,두산,0.234,89,373,321,46,75,20,1,16,145,51,0,1
46,강승호,두산,0.231,95,327,295,36,68,13,0,6,99,44,6,5
47,피터스,롯데,0.228,85,354,316,32,72,16,0,13,127,48,0,4
48,김태연,한화,0.226,85,337,296,34,67,11,0,6,96,38,2,2
49,최재훈,한화,0.215,87,344,289,31,62,9,0,3,80,23,5,2
